objective,p0,p1,p2,p3,p4,p5
0.0038133333333333, , , ,16,2048,4
0.0086603333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,64,8
0.0057881666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,64
0.0030771666666666, , , ,4,50,4
0.0033015, , , ,100,50,4
0.0034681666666666, , , ,4,50,8
0.0017491666666666, , , ,4,20,32
0.0024375, , , ,4,50,80
0.0025231666666666, , , ,20,20,32
0.002413, , , ,4,64,32
0.002448, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,32
0.0023023333333333, , , ,4,16,32
0.0024714999999999, , , ,32,20,32
0.0024693333333333, , , ,100,20,128
0.0025893333333333, , , ,4,20,20
0.0021864999999999, , , ,4,20,100
0.0021676666666666, , , ,4,32,32
0.0032905, , , ,4,100,4
0.0043693333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,20,32
0.0019086666666666, , , ,100,20,32
0.0023673333333333, , , ,128,20,32
0.0034636666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,64,32
0.0040813333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,20,32
0.0024508333333333, , , ,16,128,64
0.0016468333333333, , , ,4,100,32
0.0017466666666666, , , ,50,100,32
0.0035963333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,80,32
0.0017198333333333, , , ,128,128,32
0.0031108333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,100
0.0024315, , , ,80,100,32
0.0017768333333333, , , ,4,80,32
0.0015783333333333, , , ,64,32,32
0.0024608333333333, , , ,4,128,32
0.0015618333333333, , , ,8,32,32
0.00227, , , ,64,32,8
0.0026393333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,32
0.0029679999999999,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,32,32
0.0030509999999999, , , ,8,32,4
0.0024281666666666, , , ,8,32,80
0.0016983333333333, , , ,8,32,128
0.0016743333333333, , , ,64,16,32
0.0026894999999999, , , ,80,32,20
0.0023815, , , ,128,32,32
0.0015735, , , ,96,32,32
