p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
8,64,#pragma clang unrolling full,#pragma omp parallel for,32,16,40,compact,sockets,175,21.367216587066647,105.7387466430664
7,100, , ,16,128,160,compact,sockets,175,20.83286547660828,207.98885583877563
7,64,#pragma clang unrolling full,#pragma omp parallel for,64,128,100,scatter,sockets,175,20.65264105796814,308.46306014060974
4,20,#pragma clang unrolling full, ,4,128,10,compact,cores,175,19.266312837600708,413.1319043636322
6,80, ,#pragma omp parallel for,4,256,20,balanced,sockets,175,18.988152503967285,512.2198762893677
4,40, , ,16,32,80,balanced,cores,175,18.310163974761966,608.0332210063933
5,20,#pragma clang unrolling full, ,16,64,10,compact,sockets,175,20.334875345230106,710.9468586444855
7,20, ,#pragma omp parallel for,32,16,20,scatter,cores,175,20.171304941177368,812.5343706607819
6,200,#pragma clang unrolling full, ,8,256,10,scatter,sockets,175,18.52836537361145,909.0376088619232
8,80,#pragma clang unrolling full, ,8,2,200,scatter,threads,175,19.56188249588013,1009.3655297756196
4,64, ,#pragma omp parallel for,2,4,160,compact,threads,175,18.558641195297238,1111.927316904068
5,64,#pragma clang unrolling full,#pragma omp parallel for,16,64,20,balanced,cores,175,21.88891363143921,1215.8606219291687
6,40,#pragma clang unrolling full, ,8,128,64,compact,cores,175,19.642957925796512,1320.727002620697
6,80,#pragma clang unrolling full,#pragma omp parallel for,128,96,128,compact,sockets,175,20.12645101547241,1425.070523262024
8,128, , ,16,8,160,compact,threads,175,21.16925811767578,1532.3643040657046
5,128, ,#pragma omp parallel for,64,32,160,compact,sockets,175,19.83344078063965,1637.6701519489288
7,40,#pragma clang unrolling full, ,8,8,64,scatter,threads,175,21.53955078125,1742.9638698101044
6,80,#pragma clang unrolling full,#pragma omp parallel for,32,96,40,scatter,cores,175,22.54526948928833,1848.3996050357816
4,200, ,#pragma omp parallel for,4,96,40,balanced,sockets,175,19.55710792541504,1948.160512685776
8,10, ,#pragma omp parallel for,128,96,64,balanced,threads,175,20.72828960418701,2051.3205437660213
5,200, ,#pragma omp parallel for,4,32,160,balanced,sockets,175,21.81430697441101,2152.857130527497
5,200,#pragma clang unrolling full,#pragma omp parallel for,128,8,64,scatter,cores,175,21.90499997138977,2254.545669317245
5,20, , ,4,16,100,compact,threads,175,20.075572967529297,2357.1514465808873
6,10, , ,256,32,200,compact,threads,175,21.11219453811645,2460.6540350914
8,20,#pragma clang unrolling full,#pragma omp parallel for,64,4,40,scatter,threads,175,21.469784021377567,2563.110010147095
4,128, , ,2,128,128,scatter,sockets,175,20.522581100463867,2669.1638753414154
8,10, ,#pragma omp parallel for,64,16,128,balanced,sockets,175,20.593380451202396,2770.8454370498657
5,200,#pragma clang unrolling full,#pragma omp parallel for,8,256,20,scatter,threads,175,20.857374429702762,2873.2236199378967
4,200,#pragma clang unrolling full, ,8,256,160,compact,cores,175,18.592576026916504,2976.2627329826355
7,160, , ,2,64,10,compact,threads,175,21.903147220611572,3081.5458335876465
7,160, ,#pragma omp parallel for,64,4,128,balanced,sockets,175,22.529025077819824,3185.388946056366
